IDs,final_classification,genebank_id,accession_id,start,stop,gene_description,socus,sig_seq,is_family,group,origin,bits_score,e_value,final_call
gene:proph:161564,prophage,1254234,NC_003197.2,2858065,2858516,Fels-2 prophage protein,STM2711,ISBrsp7,IS5,,Bradyrhizobium sp.,34.2,0.2,prophage
gene:proph:161566,prophage,1254236,NC_003197.2,2858898,2859189,Fels-2 prophage protein,STM2713,ISMdi28,IS701,,Methylobacterium dichloromethanicum,36.2,0.031,prophage
gene:proph:161567,prophage,1254237,NC_003197.2,2859031,2859464,Fels-2 prophage protein,STM2714,ISKde1,IS1595,IS1016,Kingella denitrificans,32.2,0.74,prophage
gene:proph:161571,prophage,1254241,NC_003197.2,2860748,2861220,Fels-2 prophage protein,STM2718,ISUnCu24,IS66,,Uncultured bacterium,30.2,3.2,prophage
gene:proph:161575,prophage,1254245,NC_003197.2,2864034,2865804,Fels-2 prophage protein,STM2722,ISNaoc5,IS200/IS605,IS1341,Natronococcus occultus,36.2,0.2,prophage
gene:proph:161576,prophage,1254246,NC_003197.2,2865797,2866844,Fels-2 prophage protein,STM2723,ISSsu8,IS481,,Streptococcus suis,36.2,0.12,prophage
gene:proph:161578,prophage,1254248,NC_003197.2,2868693,2868829,,STM2725,ISClj1,IS1202,IS1202,Clostridium ljungdahlii,30.2,0.86,prophage
gene:proph:161579,prophage,1254249,NC_003197.2,2868895,2869632,Fels-2 prophage protein,STM2726,ISMma2,IS1182,,Methanosarcina mazei,34.2,0.32,prophage
gene:proph:161580,prophage,1254250,NC_003197.2,2869686,2869996,Fels-2 prophage protein,STM2727,ISHvo18,IS200/IS605,IS605,Haloferax volcanii,32.2,0.52,prophage
gene:proph:161581,prophage,1254251,NC_003197.2,2869930,2870125,Fels-2 prophage protein,STM2728,ISNco1,ISNCY,ISDol1,Nitrosomonas communis,32.2,0.32,prophage
gene:proph:161582,prophage,1254252,NC_003197.2,2870271,2872707,Fels-2 prophage protein,STM2729,ISHmu5,IS200/IS605,IS605,Halomicrobium mukohataei,38.2,0.07,prophage
gene:proph:161583,prophage,1254253,NC_003197.2,2872691,2873555,Fels-2 prophage protein,STM2730,ISBeb4,IS1595,ISSod11,Betaproteobacteria bacterium,32.2,1.5,prophage
gene:proph:161586,prophage,1254256,NC_003197.2,2874073,2874421,Fels-2 prophage protein,STM2733,ISPda2,IS91,,Photobacterium damselae,30.2,2.3,prophage
gene:proph:161587,prophage,1254257,NC_003197.2,2874628,2875092,Fels-2 prophage protein,STM2734,ISGlo3,IS481,,Geobacter lovleyi,32.2,0.8,prophage
gene:proph:161592,prophage,1254262,NC_003197.2,2876818,2877843,Fels-2 prophage protein,STM2739,ISOxba1,IS1202,ISAba32,Oxalobacteraceae bacterium,34.2,0.45,prophage
gene:proph:161593,prophage,1252411,NC_003197.2,962614,963951,putative Fels-1 prophage integrase,STM0893,ISMsy1,IS1634,,Mycoplasma synoviae,36.2,0.15,prophage
gene:proph:161601,prophage,1252419,NC_003197.2,969993,971584,putative Fels-1 prophage DNA or RNA helicases of superfamily II,STM0900,ISSm4,ISL3,,Serratia marcescens,36.2,0.18,prophage
gene:proph:161602,prophage,1252420,NC_003197.2,971576,972549,Fels-1 putative prophage DNA primase,STM0901,ISSwo2,IS66,,Syntrophomonas wolfei,36.2,0.11,prophage
gene:proph:161603,prophage,1252421,NC_003197.2,972543,973409,Fels-1 prophage protein,STM0902,ISRoba1,IS1202,ISTde1,Rhodospirillales bacterium,40.1,0.006,prophage
gene:proph:161604,prophage,1252422,NC_003197.2,973401,974221,putative Fels-1 prophage chaparone,STM0903,ISMae34,IS701,,Microcystis aeruginosa,40.1,0.006,prophage
gene:proph:161608,prophage,1252426,NC_003197.2,977155,977775,putative Fels-1 prophage chitinase,STM0907,ISPha2,IS5,,Paracoccus halophilus,34.2,0.27,prophage
gene:proph:161622,prophage,1252440,NC_003197.2,992888,993589,putative Fels-1 prophage minor tail protein,STM0921,ISGte1,IS256,,Gordonia terrae,36.2,0.078,prophage
gene:proph:161623,prophage,1252441,NC_003197.2,993595,994335,putative Fels-1 prophage tail assembly protein,STM0922,IS679,IS66,,Escherichia coli,40.1,0.005,prophage
gene:proph:161624,prophage,1252442,NC_003197.2,994227,994910,putative Fels-1 prophage tail assembly protein,STM0923,ISVapa4,IS21,,Variovorax paradoxus,34.2,0.3,prophage
gene:proph:161626,prophage,1252444,NC_003197.2,995582,999028,putative Fels-1 prophage host specificity protein,STM0925,ISThni1,IS701,ISAba11,Thiothrix nivea,34.2,1.5,prophage
gene:proph:161634,prophage,1252524,NC_003197.2,1099567,1099822,Gifsy-2 prophage excisionase,STM1006,TnEc3,Tn3,,Escherichia coli,30.2,1.7,prophage
gene:proph:161639,prophage,1252529,NC_003197.2,1104742,1105008,Gifsy-2 prophage protein,STM1011,ISMrsp6,IS1380,,Marinobacter sp.,34.2,0.11,prophage
gene:proph:161685,prophage,1255728,NC_003197.2,4422829,4423951,putative phage baseplate protein,STM4202,ISStma20,IS3,IS150,Stenotrophomonas maltophilia,34.2,0.5,prophage
gene:proph:161694,prophage,1255737,NC_003197.2,4430546,4432900,putative phage tail protein,STM4211,ISKox1,IS66,,Klebsiella oxytoca,38.2,0.067,prophage
gene:proph:161695,prophage,1255738,NC_003197.2,4433454,4433985,putative phage tail core protein,STM4212,ISMamu1,ISNCY,ISDol1,Candidatus Magnetoglobus,32.2,0.92,prophage
gene:proph:162075,prophage,3103056,NC_002977.6,2866649,2869786,hypothetical protein,MCA2684,ISMesp1,IS1595,ISNwi1,Mesorhizobium sp.,36.2,0.35,prophage
gene:proph:162152,prophage,3104109,NC_002977.6,3121326,3122657,"prophage MuMc02, terminase, ATPase subunit",MCA2933,ISGte1,IS256,,Gordonia terrae,36.2,0.15,prophage
gene:proph:162247,prophage,3730300,NC_007508.1,2802473,2803675,phage-related integrase,XCV2484,ISPa164,IS3,IS51,Pseudomonas aeruginosa,34.2,0.53,prophage
gene:proph:162496,prophage,3236164,NC_002951.2,908471,908680,pathogenicity island protein,SACOL0894,ISLdl1,ISL3,,Lactobacillus delbrueckii,34.2,0.087,prophage
gene:proph:162510,prophage,3237979,NC_002951.2,908332,908478,pathogenicity island protein,SACOL0893,ISCysp22,IS701,ISAba11,Cyanothece sp.,32.2,0.23,prophage
gene:proph:162583,prophage,4440158,NC_008530.1,642180,642803,hypothetical protein,LGAS_0635,ISFn1,IS91,,Fusobacterium necrophorum,34.2,0.27,prophage
gene:proph:162584,prophage,4440159,NC_008530.1,642868,643350,hypothetical protein,LGAS_0636,ISEnfa7,IS1202,IS1202,Enterococcus faecalis,32.2,0.83,prophage
gene:proph:162585,prophage,4440160,NC_008530.1,643325,643672,XRE family transcriptional regulator,LGAS_0637,ISCst1,ISLre2,,Cylindrospermum stagnale,32.2,0.59,prophage
gene:proph:162586,prophage,4440161,NC_008530.1,643817,644041,XRE family transcriptional regulator,LGAS_0638,ISCbo4,IS256,,Clostridium botulinum,36.2,0.024,prophage
gene:proph:162587,prophage,4440162,NC_008530.1,644074,644409,Phage related protein,LGAS_0639,ISSto7,IS1,,Sulfolobus tokodaii,34.2,0.14,prophage
gene:proph:162588,prophage,4440163,NC_008530.1,644378,644692,hypothetical protein,LGAS_0640,ISRme4,IS21,,Cupriavidus metallidurans,34.2,0.13,prophage
gene:proph:162589,prophage,4440164,NC_008530.1,644810,644956,hypothetical protein,LGAS_0641,ISApl1,IS30,,Actinobacillus pleuropneumoniae,28.2,3.7,prophage
gene:proph:162590,prophage,4440165,NC_008530.1,645008,645340,hypothetical protein,LGAS_0642,ISHahy9,IS30,,Halanaerobium hydrogeniformans,34.2,0.14,prophage
gene:proph:162591,prophage,4440166,NC_008530.1,645340,646200,hypothetical protein,LGAS_0643,ISFtu5,IS4,IS10,Francisella tularensis,36.2,0.096,prophage
gene:proph:162592,prophage,4440167,NC_008530.1,646206,647018,hypothetical protein,LGAS_0644,ISCpsp1,IS1202,ISTde1,Coprobacillus sp.,32.2,1.4,prophage
gene:proph:162593,prophage,4440168,NC_008530.1,647028,647951,hypothetical protein,LGAS_0645,MICBce6,IS4,IS231,Bacillus cereus,36.2,0.1,prophage
gene:proph:162594,prophage,4440169,NC_008530.1,647957,648262,XRE family transcriptional regulator,LGAS_0646,ISShes9,IS66,,Shewanella sp.,30.2,2,prophage
gene:proph:162595,prophage,4440170,NC_008530.1,648240,649040,phage-encoded protein,LGAS_0647,ISPa53,IS110,IS1111,Pseudomonas aeruginosa,34.2,0.35,prophage
gene:proph:162597,prophage,4440172,NC_008530.1,649250,649462,hypothetical protein,LGAS_0649,ISTel1,IS481,,Thermosynechococcus elongatus,30.2,1.4,prophage
gene:proph:162598,prophage,4439306,NC_008530.1,1471992,1472612,hypothetical protein,LGAS_1481,ISCaa3,IS5,ISL2,Candidatus Amoebophilus,34.2,0.27,prophage
gene:proph:162599,prophage,4439307,NC_008530.1,1472864,1474483,,LGAS_1482,ISBj5_B,IS5,IS5,Bradyrhizobium japonicum,36.2,0.18,prophage
gene:proph:162600,prophage,4439308,NC_008530.1,1474512,1475777,hypothetical protein,LGAS_1483,IS16,IS256,,Enterococcus faecalis,36.2,0.14,prophage
gene:proph:162601,prophage,4439309,NC_008530.1,1475774,1476445,protease subunit of ATP-dependent Clp protease,LGAS_1484,ISPye12,IS5,IS903,Paracoccus yeei,38.2,0.019,prophage
gene:proph:162602,prophage,4439310,NC_008530.1,1476465,1477643,phage phi-C31 gp36 major capsid-like protein,LGAS_1485,ISAs24,IS110,IS1111,Aeromonas salmonicida,34.2,0.52,prophage
gene:proph:162603,prophage,4439311,NC_008530.1,1477938,1478321,bacteriophage head-tail adaptor,LGAS_1486,ISTrsp2,IS1202,ISTde1,Thermobacillus sp.,32.2,0.65,prophage
gene:proph:162604,prophage,4439312,NC_008530.1,1478176,1478718,Phage-related holin,LGAS_1487,ISBcen3,IS110,IS1111,Burkholderia cenocepacia,34.2,0.24,prophage
gene:proph:162605,prophage,4439313,NC_008530.1,1478718,1479596,"Lyzozyme M1 (1,4-beta-N-acetylmuramidase)",LGAS_1488,ISNpu7,IS701,,Nostoc punctiforme,34.2,0.39,prophage
gene:proph:162607,prophage,4439315,NC_008530.1,1480337,1481998,"site-specific recombinase, DNA invertase Pin related protein",LGAS_1490,IS882,Tn3,,Ralstonia eutropha,38.2,0.047,prophage
gene:proph:162608,prophage,4439316,NC_008530.1,1482037,1483557,"site-specific recombinase, DNA invertase Pin related protein",LGAS_1491,ISAasp1,IS1202,IS1202,Anaerocolumna sp.,36.2,0.17,prophage
gene:proph:162609,prophage,4439331,NC_008530.1,1460825,1461964,hypothetical protein,LGAS_1471,ISNma25,IS200/IS605,IS1341,Natrialba magadii,34.2,0.5,prophage
gene:proph:162610,prophage,4439332,NC_008530.1,1461921,1462517,hypothetical protein,LGAS_1472,ISCARN89,IS21,,Metagenomic data,36.2,0.066,prophage
gene:proph:162612,prophage,4439334,NC_008530.1,1464591,1464977,hypothetical protein,LGAS_1474,ISPph4,IS1380,,Pelodictyon phaeoclathratiforme,32.2,0.66,prophage
gene:proph:162613,prophage,4439335,NC_008530.1,1464862,1467228,phage DNA polymerase,LGAS_1475,ISSpe4,IS110,IS1111,Shewanella pealeana,34.2,1.1,prophage
gene:proph:162615,prophage,4439337,NC_008530.1,1467692,1469044,SNF2 family DNA/RNA helicase,LGAS_1477,ISMno16,IS110,IS1111,Methylobacterium nodulans,34.2,0.6,prophage
gene:proph:162616,prophage,4439338,NC_008530.1,1469041,1469508,restriction endonuclease,LGAS_1478,ISXa1,ISAs1,,Xanthobacter autotrophicus,32.2,0.8,prophage
gene:proph:162617,prophage,4439339,NC_008530.1,1470151,1470693,hypothetical protein,LGAS_1479,ISCfr3,ISNCY,ISPlu15,Citrobacter freundii,32.2,0.93,prophage
gene:proph:162618,prophage,4439340,NC_008530.1,1470693,1471919,ParB-like nuclease domain-containing protein,LGAS_1480,ISLar7,ISNCY,ISDol1,Lentisphaera araneosa,36.2,0.14,prophage
gene:proph:162919,prophage,4796699,NC_009004.1,2481926,2483104,integrase,llmg_2525,ISAva2,IS66,ISBst12,Anabaena variabilis,34.2,0.52,prophage
gene:proph:162920,prophage,4797251,NC_009004.1,2486650,2486904,hypothetical protein,llmg_2531,ISSsu9,IS1595,ISPna2,Streptococcus suis,30.2,1.7,prophage
gene:proph:162921,prophage,4797295,NC_009004.1,2486414,2486653,hypothetical protein,llmg_2530,ISSsu13,ISL3,,Streptococcus suis,32.2,0.4,prophage
gene:proph:162922,prophage,4797302,NC_009004.1,2486090,2486371,hypothetical protein,llmg_2529,ISHp1,IS1595,ISPna2,Helicobacter pylori,32.2,0.47,prophage
gene:proph:162923,prophage,4797316,NC_009004.1,2485564,2486097,hypothetical protein,llmg_2528,ISCbo10,IS607,,Clostridium botulinum,34.2,0.23,prophage
gene:proph:162924,prophage,4797322,NC_009004.1,2484618,2485310,hypothetical protein,llmg_2527,ISStrs1,IS200/IS605,IS200,Streptococcus salivarius,34.2,0.3,prophage
gene:proph:162925,prophage,4797876,NC_009004.1,2491625,2491948,hypothetical protein,llmg_2538,TnBth3,Tn3,,Bacillus thuringiensis,32.2,0.55,prophage
gene:proph:162926,prophage,4797900,NC_009004.1,2491191,2491601,hypothetical protein,llmg_2537,ISMae43,ISKra4,ISMich2,Microcystis aeruginosa,34.2,0.18,prophage
gene:proph:162927,prophage,4797905,NC_009004.1,2490815,2491117,hypothetical protein,llmg_2536,ISBce7,IS4,IS231,Bacillus cereus,32.2,0.51,prophage
gene:proph:162928,prophage,4797924,NC_009004.1,2490000,2490542,hypothetical protein,llmg_2535,ISBsu2,IS256,,Bacillus subtilis,32.2,0.93,prophage
gene:proph:162929,prophage,4797938,NC_009004.1,2488144,2489772,hypothetical protein,llmg_2534,ISVse1,IS1202,IS1202,Veillonella seminalis,34.2,0.72,prophage
gene:proph:162930,prophage,4797945,NC_009004.1,2487339,2488133,hypothetical protein,llmg_2533,ISEc83,IS66,,Escherichia coli,32.2,1.4,prophage
gene:proph:162931,prophage,4798187,NC_009004.1,2486901,2487230,hypothetical protein,llmg_2532,ISAzvi5,IS4,IS10,Azotobacter vinelandii,34.2,0.14,prophage
gene:proph:162934,prophage,4796599,NC_009004.1,48561,48887,hypothetical protein,llmg_0051,ISMba19,IS5,IS427,Methanosarcina barkeri,32.2,0.55,prophage
gene:proph:162935,prophage,4796604,NC_009004.1,45578,45802,Ps108 protein,llmg_0048,ISCasp4,IS701,ISAba11,Calothrix sp.,32.2,0.37,prophage
gene:proph:162936,prophage,4796690,NC_009004.1,49395,49532,hypothetical protein,llmg_0052,ISHahy7,IS256,,Halanaerobium hydrogeniformans,30.2,0.86,prophage
gene:proph:162937,prophage,4796705,NC_009004.1,49621,49785,hypothetical protein,llmg_0053,ISClsp10,IS1202,IS1202,Clostridium sp.,30.2,1.1,prophage
gene:proph:162938,prophage,4796706,NC_009004.1,45200,45442,hypothetical protein,llmg_0047,ISSbe2,IS1595,,Shewanella benthica,32.2,0.4,prophage
gene:proph:162939,prophage,4796889,NC_009004.1,41311,41865,hypothetical protein,llmg_0042,ISSen5,IS630,,Salmonella enterica,32.2,0.96,prophage
gene:proph:162942,prophage,4796923,NC_009004.1,42279,42473,hypothetical protein,llmg_0044,ISDeth1,IS5,IS903,Desulfurobacterium thermolithotrophum,32.2,0.32,prophage
gene:proph:162944,prophage,4796934,NC_009004.1,43097,44422,hypothetical protein,llmg_0045,IS712,IS21,,Lactococcus lactis,34.2,0.59,prophage
gene:proph:162945,prophage,4796936,NC_009004.1,39258,39452,hypothetical protein,llmg_0037,ISBse1,IS1595,ISPna2,Bacillus selenitireducens,34.2,0.081,prophage
gene:proph:162946,prophage,4796946,NC_009004.1,36880,37674,phage DNA replication,llmg_0031,ISGys1,ISNCY,ISDol1,Gynuella sunshinyii,32.2,1.4,prophage
gene:proph:162947,prophage,4796961,NC_009004.1,39568,39753,hypothetical protein,llmg_0038,ISCco1,IS200/IS605,IS605,Campylobacter coli,32.2,0.3,prophage
gene:proph:162948,prophage,4796976,NC_009004.1,38535,38816,DNA binding protein,llmg_0035,ISLfe1,ISKra4,ISKra4,Leptospirillum ferrodiazotrophum,32.2,0.47,prophage
gene:proph:162949,prophage,4797037,NC_009004.1,50462,51646,phage integrase,llmg_0055,ISMae10,IS1634,,Microcystis aeruginosa,34.2,0.52,prophage
gene:proph:162950,likely IS/TE,4797130,NC_009004.1,46466,47689,transposase for insertion sequence element IS712A,llmg_0049,IS712,IS21,,Lactococcus lactis,2426,0,likely IS/TE
gene:proph:162951,prophage,4797146,NC_009004.1,49907,50212,hypothetical protein,llmg_0054,ISFop4,IS3,IS150,Francisella opportunistica,30.2,2,prophage
gene:proph:162953,prophage,4797446,NC_009004.1,32973,33296,hypothetical protein,llmg_0026,ISMsy1,IS1634,,Mycoplasma synoviae,32.2,0.55,prophage
gene:proph:162954,prophage,4797958,NC_009004.1,34424,35005,hypothetical protein,llmg_0029,ISGlo1,IS3,IS3,Geobacter lovleyi,34.2,0.25,prophage
gene:proph:162955,prophage,4797973,NC_009004.1,33805,34107,hypothetical protein,llmg_0028,ISBce7,IS4,IS231,Bacillus cereus,32.2,0.51,prophage
gene:proph:162956,prophage,4798010,NC_009004.1,38828,39253,hypothetical protein,llmg_0036,ISHahy7,IS256,,Halanaerobium hydrogeniformans,32.2,0.73,prophage
gene:proph:162957,prophage,4798054,NC_009004.1,33397,33777,hypothetical protein,llmg_0027,ISCysp13,IS200/IS605,IS605,Cyanothece sp.,36.2,0.041,prophage
gene:proph:162958,prophage,4798167,NC_009004.1,44504,44710,hypothetical protein,llmg_0046,ISGlo3,IS481,,Geobacter lovleyi,34.2,0.086,prophage
gene:proph:162959,likely IS/TE,4798172,NC_009004.1,47701,48459,transposase helper protein for IS712A,llmg_0050,IS712,IS21,,Lactococcus lactis,1505,0,likely IS/TE
gene:proph:162960,prophage,4798229,NC_009004.1,38254,38493,hypothetical protein,llmg_0034,ISBsp1,IS1595,ISPna2,Bacillus sp.,32.2,0.4,prophage
gene:proph:162961,prophage,4798304,NC_009004.1,37671,38006,hypothetical protein,llmg_0032,ISMmy2,IS3,IS150,Mycoplasma mycoides,32.2,0.57,prophage
gene:proph:162964,likely IS/TE,4796975,NC_009004.1,795890,796648,transposase helper protein for IS712D,llmg_0823,IS712,IS21,,Lactococcus lactis,1505,0,likely IS/TE
gene:proph:162965,prophage,4797158,NC_009004.1,784489,784725,hypothetical protein,llmg_0798,ISPsy35,IS110,,Pseudomonas syringae,36.2,0.025,prophage
gene:proph:162966,prophage,4797169,NC_009004.1,783763,784476,hypothetical protein,llmg_0797,ISPep1,IS1202,ISAba32,Pelagibaca sp.,32.2,1.2,prophage
gene:proph:162968,prophage,4797172,NC_009004.1,783269,783520,hypothetical protein,llmg_0795,ISMssp1,IS1202,IS1202,Massilimicrobiota sp.,30.2,1.7,prophage
gene:proph:162970,prophage,4797181,NC_009004.1,781407,781904,hypothetical protein,llmg_0793,ISKpn52,IS3,IS3,Klebsiella pneumoniae,42.1,9.00E-04,prophage
gene:proph:162971,prophage,4797187,NC_009004.1,791248,791796,hypothetical protein,llmg_0815,ISSau2,IS3,IS150,Staphylococcus aureus,34.2,0.24,prophage
gene:proph:162978,prophage,4797319,NC_009004.1,785977,786495,hypothetical protein,llmg_0804,ISPph4,IS1380,,Pelodictyon phaeoclathratiforme,36.2,0.057,prophage
gene:proph:162980,prophage,4797569,NC_009004.1,817302,817607,hypothetical protein,llmg_0849,ISAva4,IS1634,,Anabaena variabilis,34.2,0.13,prophage
gene:proph:162984,likely IS/TE,4797859,NC_009004.1,794655,795878,transposase for insertion sequence element IS712D,llmg_0822,IS712,IS21,,Lactococcus lactis,2426,0,likely IS/TE
gene:proph:162985,prophage,4797862,NC_009004.1,794053,794478,hypothetical protein,llmg_0821,ISHti6,IS630,,Halorhabdus tiamatea,34.2,0.18,prophage
gene:proph:162986,prophage,4797866,NC_009004.1,793525,793698,hypothetical protein,llmg_0820,ISAcsp6,IS1595,ISPna2,Acinetobacter sp.,30.2,1.1,prophage
gene:proph:162987,prophage,4797887,NC_009004.1,793310,793528,hypothetical protein,llmg_0819,ISCsa3,IS110,,Caldicellulosiruptor saccharolyticus,32.2,0.36,prophage
gene:proph:162988,prophage,4797895,NC_009004.1,792550,793230,hypothetical protein,llmg_0818,ISHor1,IS3,IS3,Halothermothrix orenii,42.1,0.001,prophage
gene:proph:162989,prophage,4797935,NC_009004.1,792215,792553,hypothetical protein,llmg_0817,ISAzs38,IS1202,ISAba32,Azospirillum sp.,34.2,0.14,prophage
gene:proph:162990,prophage,4797947,NC_009004.1,791793,792212,deoxyuridine 5'-triphosphate nucleotidohydrolase,llmg_0816,ISAzs38,IS1202,ISAba32,Azospirillum sp.,34.2,0.14,prophage
gene:proph:162992,prophage,4798001,NC_009004.1,780973,781410,hypothetical protein,llmg_0792,ISAwo1,IS1595,IS1595,Aliivibrio wodanis,36.2,0.048,prophage
gene:proph:162995,prophage,4798285,NC_009004.1,784879,785112,hypothetical protein,llmg_0800,ISSto6,IS110,,Sulfolobus tokodaii,36.2,0.025,prophage
gene:proph:162996,prophage,4798298,NC_009004.1,785696,785872,transcriptional regulator,llmg_0803,ISLpn1,IS4,IS10,Legionella pneumophila,38.2,0.005,prophage
gene:proph:162997,prophage,4798308,NC_009004.1,785451,785699,hypothetical protein,llmg_0802,ISLse2,IS3,IS3,Listeria seeligeri,30.2,1.6,prophage
gene:proph:162998,prophage,4798310,NC_009004.1,785067,785345,hypothetical protein,llmg_0801,ISTosp1,IS200/IS605,IS1341,Tolypothrix sp.,34.2,0.12,prophage
gene:proph:163001,prophage,4798424,NC_009004.1,790511,791035,hypothetical protein,llmg_0813,ISPsy30,Tn3,,Pseudomonas syringae,34.2,0.23,prophage
gene:proph:163003,prophage,4798514,NC_009004.1,789680,790165,hypothetical protein,llmg_0811,ISSsu9,IS1595,ISPna2,Streptococcus suis,32.2,0.83,prophage
gene:proph:163006,prophage,4798697,NC_009004.1,817815,819104,endolysin,llmg_0851,ISMamu1,ISNCY,ISDol1,Candidatus Magnetoglobus,36.2,0.14,prophage
gene:proph:163007,prophage,4798701,NC_009004.1,820436,820672,hypothetical protein,llmg_0853,ISErh1,IS3,IS150,Erysipelothrix rhusiopathiae,32.2,0.39,prophage
gene:proph:163008,prophage,4798717,NC_009004.1,819286,820245,hypothetical protein,llmg_0852,ISCco5,IS607,,Campylobacter coli,34.2,0.42,prophage
gene:proph:163009,prophage,4798829,NC_009004.1,805718,806266,hypothetical protein,llmg_0839,ISSeq3,IS3,IS150,Streptococcus equi,32.2,0.95,prophage
gene:proph:163020,prophage,4799133,NC_009004.1,779031,780164,integrase,llmg_0790,ISSc1,IS30,,Spiroplasma citri,36.2,0.13,prophage
gene:proph:163021,prophage,4797156,NC_009004.1,2224574,2224888,hypothetical protein,llmg_2266,ISMae41,IS200/IS605,IS1341,Microcystis aeruginosa,32.2,0.53,prophage
gene:proph:163022,prophage,4797174,NC_009004.1,2217123,2217362,phage protein by Glimmer/Critica,llmg_2255,ISBth5,IS4,IS231,Bacillus thuringiensis,36.2,0.025,prophage
gene:proph:163023,prophage,4797176,NC_009004.1,2217400,2217681,hypothetical protein,llmg_2256,ISFnu1,IS1182,,Fusobacterium nucleatum,32.2,0.47,prophage
gene:proph:163025,prophage,4797287,NC_009004.1,2216718,2217053,phage protein by Glimmer/Critica,llmg_2254,ISMmy2,IS3,IS150,Mycoplasma mycoides,32.2,0.57,prophage
gene:proph:163029,prophage,4797822,NC_009004.1,2217903,2218106,hypothetical protein,llmg_2259,ISMiva1,ISKra4,ISMich2,Microcoleus vaginatus,32.2,0.34,prophage
gene:proph:163032,prophage,4798002,NC_009004.1,2226383,2227564,phage integrase,llmg_2268,ISBce22,IS200/IS605,IS1341,Bacillus cereus,32.2,2.1,prophage
gene:proph:163033,prophage,4798004,NC_009004.1,2220103,2220645,hypothetical protein,llmg_2262,ISFac5,IS481,,Ferroplasma acidarmanus,36.2,0.06,prophage
gene:proph:163035,prophage,4798030,NC_009004.1,2218883,2219548,phage protein by Glimmer/Critica,llmg_2261,ISBce2,IS4,IS231,Bacillus cereus,34.2,0.29,prophage
gene:proph:163037,prophage,4798311,NC_009004.1,2214288,2215916,DNA primase,llmg_2252,ISCbt1,IS200/IS605,IS605,Clostridium botulinum,36.2,0.18,prophage
gene:proph:163038,prophage,4798505,NC_009004.1,2225692,2225886,hypothetical protein,llmg_2267,ISPrst1,IS4,IS50,Providencia stuartii,36.2,0.02,prophage
gene:proph:163039,prophage,4798912,NC_009004.1,2212624,2212956,hypothetical protein,llmg_2249,ISCpsp1,IS1202,ISTde1,Coprobacillus sp.,32.2,0.56,prophage
gene:proph:163041,prophage,4086280,NC_008027.1,4420300,4421367,recombinase A,PSEEN4128,ISMahy12,IS110,IS1111,Marinobacter hydrocarbonoclasticus,36.2,0.12,prophage
gene:proph:163218,prophage,989448,NC_003366.1,1334195,1334989,hypothetical protein,CPE_RS06025,ISBf11,IS1380,IS942,Bacteroides fragilis,36.2,0.088,prophage
gene:proph:163219,prophage,989449,NC_003366.1,1335176,1335463,hypothetical protein,CPE_RS06030,ISNpu15,ISKra4,ISMich2,Nostoc punctiforme,32.2,0.48,prophage
gene:proph:163220,prophage,3230978,NC_003912.7,207609,208238,phage repressor protein,CJE0215,ISAbe14,ISL3,,Acinetobacter bereziniae,38.2,0.018,prophage
gene:proph:163239,prophage,3230997,NC_003912.7,220410,220691,baseplate assembly protein W,CJE0234,ISBco4,IS1182,,Bacillus coagulans,34.2,0.12,prophage
gene:proph:163246,prophage,3231004,NC_003912.7,222552,222941,hypothetical protein,CJE0241,ISCARN87,IS630,,Metagenomic data,36.2,0.042,prophage
gene:proph:163249,prophage,3231007,NC_003912.7,224506,224871,hypothetical protein,CJE0245,IS231E,IS4,IS231,Bacillus thuringiensis,34.2,0.16,prophage
gene:proph:163264,prophage,3231022,NC_003912.7,235460,235729,hypothetical protein,CJE0260,ISLdl1,ISL3,,Lactobacillus delbrueckii,36.2,0.029,prophage
gene:proph:163310,prophage,1003534,NC_003923.1,1563979,1564236,hypothetical protein,MW1422,ISCpu1,IS1202,IS1202,Clostridium putrefaciens,30.2,1.7,prophage
gene:proph:163364,prophage,1004028,NC_003923.1,2074055,2074705,hypothetical protein,MW1914,ISCpe7,IS6,,Clostridium perfringens,34.2,0.29,prophage
gene:proph:163382,prophage,1004046,NC_003923.1,2083151,2083900,phage anti repressor,MW1932,ISMac1,IS1182,,Methanosarcina acetivorans,36.2,0.083,prophage
gene:proph:163398,prophage,4423358,NC_008531.1,1624191,1625282,"1,4-beta-N-acetylmuramidase",LEUM_1628,ISCco2,IS1595,ISPna2,Campylobacter coli,36.2,0.12,prophage
gene:proph:163399,prophage,4423359,NC_008531.1,1625286,1625510,hypothetical protein,LEUM_1629,ISMae37,ISL3,,Microcystis aeruginosa,30.2,1.5,prophage
gene:proph:163408,prophage,4423368,NC_008531.1,1639074,1639253,hypothetical protein,LEUM_1638,ISCph14,ISNCY,ISDol1,Chlorobium phaeobacteroides,34.2,0.074,prophage
gene:proph:163409,prophage,4423369,NC_008531.1,1639292,1639696,hypothetical protein,LEUM_1639,ISPa65,IS21,,Pseudomonas aeruginosa,32.2,0.69,prophage
gene:proph:163422,prophage,4423382,NC_008531.1,1648301,1648741,restriction endonuclease,LEUM_1652,ISNagr7,IS1595,ISH4,Natronobacterium gregoryi,36.2,0.048,prophage
gene:proph:163432,prophage,4423392,NC_008531.1,1652888,1653310,hypothetical protein,LEUM_1662,ISMig1,IS701,ISAba11,Methanotorris igneus,32.2,0.72,prophage
gene:proph:163543,prophage,3482317,NC_007168.1,2397744,2397947,cold-shock protein C,SH2398,ISSbo1,IS91,,Shigella boydii,30.2,1.3,prophage
